id,display_name,category,source,pack,product,entitlements,can_be_earned,body_fits,icon_atlas,icon_cell,presentation_sprite,attachment_asset,palette_mask,layer,effect
cosmetic.captain.explorer-fieldnotes,Explorer Fieldnotes,Captain,Edition,founders_constellation,,founders_constellation|complete_launch_collection,false,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainSuits.png,10,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainSuitsPresentation.png#cosmetic.captain.explorer-fieldnotes,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-suitComponents.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-silhouette-costume-palette-mask.png,silhouette-costume,cosmetic.effect.captain.explorer-fieldnotes
cosmetic.captain.explorer-celestial,Explorer Celestial,Captain,Edition,founders_constellation,,founders_constellation|complete_launch_collection,false,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainSuits.png,11,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainSuitsPresentation.png#cosmetic.captain.explorer-celestial,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-suitComponents.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-silhouette-costume-palette-mask.png,silhouette-costume,cosmetic.effect.captain.explorer-celestial
cosmetic.captain.birthday-banner,Birthday Banner,Captain,Edition,founders_constellation,,founders_constellation|complete_launch_collection,false,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainSuits.png,12,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainSuitsPresentation.png#cosmetic.captain.birthday-banner,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-suitComponents.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-silhouette-costume-palette-mask.png,silhouette-costume,cosmetic.effect.captain.birthday-banner
cosmetic.captain.launch-navigator,Launch Navigator,Captain,IndividualPurchase,mirra_collection,jss.cosmetic.captain.launch-navigator,mirra_collection|jss.cosmetic.captain.launch-navigator|complete_launch_collection,false,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainSuits.png,13,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainSuitsPresentation.png#cosmetic.captain.launch-navigator,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-suitComponents.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-silhouette-costume-palette-mask.png,silhouette-costume,cosmetic.effect.captain.launch-navigator
cosmetic.captain.launch-planetary,Launch Planetary,Captain,IndividualPurchase,mirra_collection,jss.cosmetic.captain.launch-planetary,mirra_collection|jss.cosmetic.captain.launch-planetary|complete_launch_collection,false,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainSuits.png,14,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainSuitsPresentation.png#cosmetic.captain.launch-planetary,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-suitComponents.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-silhouette-costume-palette-mask.png,silhouette-costume,cosmetic.effect.captain.launch-planetary
cosmetic.captain.launch-starlight,Launch Starlight,Captain,IndividualPurchase,mirra_collection,jss.cosmetic.captain.launch-starlight,mirra_collection|jss.cosmetic.captain.launch-starlight|complete_launch_collection,false,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainSuits.png,15,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainSuitsPresentation.png#cosmetic.captain.launch-starlight,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-suitComponents.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-silhouette-costume-palette-mask.png,silhouette-costume,cosmetic.effect.captain.launch-starlight
cosmetic.captain.explorer-bubble-helmet,Explorer Bubble Helmet,Captain,Free,launch.earned,,,true,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainGear.png,0,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainGearPresentation.png#cosmetic.captain.explorer-bubble-helmet,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-helmets.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-head-hair-palette-mask.png,head-hair,cosmetic.effect.captain.explorer-bubble-helmet
cosmetic.captain.workshop-goggles,Workshop Goggles,Captain,Earned,launch.earned,,,true,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainGear.png,1,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainGearPresentation.png#cosmetic.captain.workshop-goggles,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-helmets.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-head-hair-palette-mask.png,head-hair,cosmetic.effect.captain.workshop-goggles
cosmetic.captain.signal-visor,Signal Visor,Captain,Earned,launch.earned,,,true,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainGear.png,2,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainGearPresentation.png#cosmetic.captain.signal-visor,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-helmets.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-head-hair-palette-mask.png,head-hair,cosmetic.effect.captain.signal-visor
cosmetic.captain.founder-field-cap,Founder Field Cap,Captain,Earned,launch.earned,,,true,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainGear.png,3,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainGearPresentation.png#cosmetic.captain.founder-field-cap,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-helmets.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-head-hair-palette-mask.png,head-hair,cosmetic.effect.captain.founder-field-cap
cosmetic.captain.stitched-gloves,Stitched Gloves,Captain,Earned,launch.earned,,,true,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainGear.png,4,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainGearPresentation.png#cosmetic.captain.stitched-gloves,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-gloves.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-foreground-hand-tool-palette-mask.png,foreground-hand-tool,cosmetic.effect.captain.stitched-gloves
cosmetic.captain.lens-gauntlets,Lens Gauntlets,Captain,Edition,explorer_edition,,explorer_edition|complete_launch_collection,true,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainGear.png,5,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainGearPresentation.png#cosmetic.captain.lens-gauntlets,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-gloves.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-foreground-hand-tool-palette-mask.png,foreground-hand-tool,cosmetic.effect.captain.lens-gauntlets
cosmetic.captain.laceup-boots,Laceup Boots,Captain,Edition,explorer_edition,,explorer_edition|complete_launch_collection,true,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainGear.png,6,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainGearPresentation.png#cosmetic.captain.laceup-boots,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-boots.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-silhouette-costume-palette-mask.png,silhouette-costume,cosmetic.effect.captain.laceup-boots
cosmetic.captain.aurora-boots,Aurora Boots,Captain,Edition,explorer_edition,,explorer_edition|complete_launch_collection,true,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainGear.png,7,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainGearPresentation.png#cosmetic.captain.aurora-boots,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-boots.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-silhouette-costume-palette-mask.png,silhouette-costume,cosmetic.effect.captain.aurora-boots
cosmetic.captain.observatory-pack,Observatory Pack,Captain,Edition,explorer_edition,,explorer_edition|complete_launch_collection,true,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainGear.png,8,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainGearPresentation.png#cosmetic.captain.observatory-pack,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-backpacks.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-backpack-equipment-palette-mask.png,backpack-equipment,cosmetic.effect.captain.observatory-pack
cosmetic.captain.solar-field-pack,Solar Field Pack,Captain,Edition,founders_constellation,,founders_constellation|complete_launch_collection,true,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainGear.png,9,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainGearPresentation.png#cosmetic.captain.solar-field-pack,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-backpacks.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-backpack-equipment-palette-mask.png,backpack-equipment,cosmetic.effect.captain.solar-field-pack
cosmetic.captain.founder-patch,Founder Patch,Captain,Edition,founders_constellation,,founders_constellation|complete_launch_collection,false,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainGear.png,10,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainGearPresentation.png#cosmetic.captain.founder-patch,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-patches.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-silhouette-costume-palette-mask.png,silhouette-costume,cosmetic.effect.captain.founder-patch
cosmetic.captain.mirra-patch,Mirra Patch,Captain,Edition,founders_constellation,,founders_constellation|complete_launch_collection,false,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainGear.png,11,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainGearPresentation.png#cosmetic.captain.mirra-patch,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-patches.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-silhouette-costume-palette-mask.png,silhouette-costume,cosmetic.effect.captain.mirra-patch
cosmetic.captain.constellation-watch,Constellation Watch,Captain,Edition,founders_constellation,,founders_constellation|complete_launch_collection,false,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainGear.png,12,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainGearPresentation.png#cosmetic.captain.constellation-watch,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-accessories.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-head-hair-palette-mask.png,head-hair,cosmetic.effect.captain.constellation-watch
cosmetic.captain.star-charm,Star Charm,Captain,IndividualPurchase,koro_vesper_collection,jss.cosmetic.captain.star-charm,koro_vesper_collection|jss.cosmetic.captain.star-charm|complete_launch_collection,false,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainGear.png,13,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainGearPresentation.png#cosmetic.captain.star-charm,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-accessories.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-head-hair-palette-mask.png,head-hair,cosmetic.effect.captain.star-charm
cosmetic.captain.birthday-charm,Birthday Charm,Captain,IndividualPurchase,koro_vesper_collection,jss.cosmetic.captain.birthday-charm,koro_vesper_collection|jss.cosmetic.captain.birthday-charm|complete_launch_collection,false,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainGear.png,14,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainGearPresentation.png#cosmetic.captain.birthday-charm,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-accessories.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-head-hair-palette-mask.png,head-hair,cosmetic.effect.captain.birthday-charm
cosmetic.captain.ori-wristlink,Ori Wristlink,Captain,IndividualPurchase,koro_vesper_collection,jss.cosmetic.captain.ori-wristlink,koro_vesper_collection|jss.cosmetic.captain.ori-wristlink|complete_launch_collection,false,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainGear.png,15,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainGearPresentation.png#cosmetic.captain.ori-wristlink,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-accessories.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-head-hair-palette-mask.png,head-hair,cosmetic.effect.captain.ori-wristlink
cosmetic.ori.clubhouse-brass,Clubhouse Brass,Ori,Free,launch.earned,,,true,,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/Ori.png,0,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/OriPresentation.png#cosmetic.ori.clubhouse-brass,Assets/_JustSomeStars/Art/2D/Characters/Ori/Atlases/{facing}/ori-{facing}.png,,ori-shell-effect,cosmetic.effect.ori.clubhouse-brass
cosmetic.ori.mirra-frost,Mirra Frost,Ori,Earned,launch.earned,,,true,,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/Ori.png,1,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/OriPresentation.png#cosmetic.ori.mirra-frost,Assets/_JustSomeStars/Art/2D/Characters/Ori/Atlases/{facing}/ori-{facing}.png,,ori-shell-effect,cosmetic.effect.ori.mirra-frost
cosmetic.ori.signal-prism,Signal Prism,Ori,Earned,launch.earned,,,true,,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/Ori.png,2,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/OriPresentation.png#cosmetic.ori.signal-prism,Assets/_JustSomeStars/Art/2D/Characters/Ori/Atlases/{facing}/ori-{facing}.png,,ori-shell-effect,cosmetic.effect.ori.signal-prism
cosmetic.ori.builder-gripper,Builder Gripper,Ori,Earned,launch.earned,,,true,,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/Ori.png,3,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/OriPresentation.png#cosmetic.ori.builder-gripper,Assets/_JustSomeStars/Art/2D/Characters/Ori/Atlases/{facing}/ori-{facing}.png,,ori-shell-effect,cosmetic.effect.ori.builder-gripper
cosmetic.ori.aster-beacon,Aster Beacon,Ori,Earned,launch.earned,,,true,,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/Ori.png,4,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/OriPresentation.png#cosmetic.ori.aster-beacon,Assets/_JustSomeStars/Art/2D/Characters/Ori/Atlases/{facing}/ori-{facing}.png,,ori-shell-effect,cosmetic.effect.ori.aster-beacon
cosmetic.ori.founder-dome,Founder Dome,Ori,Edition,explorer_edition,,explorer_edition|complete_launch_collection,true,,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/Ori.png,5,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/OriPresentation.png#cosmetic.ori.founder-dome,Assets/_JustSomeStars/Art/2D/Characters/Ori/Atlases/{facing}/ori-{facing}.png,,ori-shell-effect,cosmetic.effect.ori.founder-dome
cosmetic.ori.explorer-archive,Explorer Archive,Ori,Edition,explorer_edition,,explorer_edition|complete_launch_collection,true,,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/Ori.png,6,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/OriPresentation.png#cosmetic.ori.explorer-archive,Assets/_JustSomeStars/Art/2D/Characters/Ori/Atlases/{facing}/ori-{facing}.png,,ori-shell-effect,cosmetic.effect.ori.explorer-archive
birthday.ori-starlight.2026,Birthday Starlight,Ori,Birthday,birthday.2026,,,false,,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/Ori.png,7,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/OriPresentation.png#birthday.ori-starlight.2026,Assets/_JustSomeStars/Art/2D/Characters/Ori/Atlases/{facing}/ori-{facing}.png,,ori-shell-effect,cosmetic.effect.ori.birthday-starlight
cosmetic.ori.garden-shell,Garden Shell,Ori,Edition,explorer_edition,,explorer_edition|complete_launch_collection,true,,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/Ori.png,8,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/OriPresentation.png#cosmetic.ori.garden-shell,Assets/_JustSomeStars/Art/2D/Characters/Ori/Atlases/{facing}/ori-{facing}.png,,ori-shell-effect,cosmetic.effect.ori.garden-shell
